ans_sum,curr,title
"[['在每一个计息期，上一个计息期的利息都将成为生息的本金'], ['一笔存款或者投资获得回报之后，再连本带利进行新一轮投资'], ['复利即以利生利'], ['复利计息方法通俗的称为“息上加息”']]","正确答案：,A ,B ,C ,D ",关于复利，下列说法正确的是（ ）。
"[['√'], ['×']]","正确答案：,B ",终值是指现在一定量的资金折算到未来一段时期所对应的金额
"[['√'], ['×']]","正确答案：,A ",某人分期付款买车，每年年初付3000元，20年还完，利率5%，要想现在一次性付清，需要付39255.9元
"[['√'], ['×']]","正确答案：,A ",逆向选择属于企业所有者与经营者产生的矛盾
"[['√'], ['×']]","正确答案：,B ",如果是对投资者股利分配的时间、形式和金额把握不准确而产生的风险，以及各种收益分配的次序和比例不当产生的风险就形成收益确认风险。
"[['√'], ['×']]","正确答案：,B ",资金的营运活动中运用了资金的时间价值理念。
"[['监督和激励'], ['规定资金的用途'], ['限制发行新债数额'], ['提前收回借款']]","正确答案：,B ,C ,D ",下列各项中，能够用于协调企业所有者与企业债权人矛盾的方法是
"[['√'], ['×']]","正确答案：,A ",如果资本市场是有效的，购买或出售金融工具的交易的净现值就为零
"[['√'], ['×']]","正确答案：,A ",从资金的借贷关系看，利率是一定时期内运用资金资源的交易价格
"[['√'], ['×']]","正确答案：,B ",年金是指每隔一年、金额相等的一系列现金流入或流出量。
"[['√'], ['×']]","正确答案：,A ",6年分期付款购物，每年年初付款500元，设银行存款利率为10%，该项分期付款相当于现在一次现金支付的购价是2395.42元。
"[['√'], ['×']]","正确答案：,A ",国债没有违约风险
"[['√'], ['×']]","正确答案：,A ",没有区分有息负债和无息负债是杜邦分析体系的局限性之一。
"[['√'], ['×']]","正确答案：,B ",终值和现值是时期指标。
"[['√'], ['×']]","正确答案：,B ",对于定性评价标准没有列示，但对被评价企业经营绩效产生重要影响的因素，在评价时不用考虑。
"[['√'], ['×']]","正确答案：,A ",不管是管理绩效定性评价还是财务业绩定量评价都有五个评定档次
"[['√'], ['×']]","正确答案：,A ",人们将投资于两种或两种以上资产的投资称为组合投资。
"[['折旧'], ['租金'], ['利滚利'], ['保险费']]","正确答案：,A ,B ,D ",下列选项中，（ ）可以视为年金的形式。
"[['（P/F,12%,5）=0.5674'], ['（F/A, 12%,5）=6.3525'], ['（P/A, 12%,5）=3.6050'], ['（A/P, 12%,5）=0.2774']]","正确答案：,A ,B ,C ,D ","如果（F/P,12%,5）=1.7623，则下述系数正确的有（　）"
"[['√'], ['×']]","正确答案：,B ",利率按计算利息的时间长短不同可分为长期利率、短期利率
"[['√'], ['×']]","正确答案：,B ",业绩评价方法只有财务业绩定量评价方法、管理业绩定性评价方法两种手段
"[['√'], ['×']]","正确答案：,A ",单个股票的预期报酬率应当等于市场对无风险投资所要求的收益率加上风险溢价。
"[['√'], ['×']]","正确答案：,A ",通过分散投资，非系统风险可以被降低，而且如果分散是充分有效的，甚至可以消除这一风险。
"[['100×（F/P，8%，5）'], ['100×（F/P，4%，10）'], ['100×（F/A，8%，5）'], ['100×（F/P，8.16%，5）']]","正确答案：,B ,D ",长江公司取得借款100万元，借款的年利率是8%，每半年复利一次，期限为5年，则该项借款的终值是（ ）。
"[['√'], ['×']]","正确答案：,A ",法定利率又称“官定利率”，是指由政府金融管理部门或者中央银行确定的利率
"[['当计息周期为一年时，名义利率与有效年利率相等'], ['当计息周期短于一年时，有效年利率小于名义利率'], ['当计息周期长于一年时，有效年利率大于名义利率'], ['当计息周期长于一年时，有效年利率小于名义利率']]","正确答案：,B ,C ",下列说法不正确的有（ ）
"[['0.1'], ['115000'], ['110000'], ['105000']]","正确答案：,B ",某人存入银行10万，若银行存款的年利率为3%，5年后的本利和是多少（ ）
"[['√'], ['×']]","正确答案：,A ",有效的风险管理就是要预先确定一系列的政策、措施，将那些可能导致利润减少的可能性降低到最小的程度，追求风险的最小化与收益的最大化。
"[['短期资本市场'], ['发行市场'], ['长期资本市场'], ['初级市场']]","正确答案：,A ,C ",以期限为标准，金融市场分为
"[['监督'], ['解聘'], ['接收'], ['激励']]","正确答案：,A ,B ,C ,D ",为了防止经营者背离所有者目标，经常采用以下方式
"[['有利于企业长期稳定发展'], ['有利于实现企业经济效益和社会效益的统一'], ['较好的兼顾了各利益主体的利益'], ['体现了前瞻性和可操作性的统一']]","正确答案：,A ,B ,C ,D ",下列属于相关者利益最大化目标优点的是
"[['货币时间价值原则'], ['资本市场有效原则'], ['双方交易原则'], ['公正原则']]","正确答案：,A ,B ,C ",下列选项中属于财务管理原则的是
"[['√'], ['×']]","正确答案：,A ",投资者经常通过多样化资产组合来分散风险。
"[['财务报表本身的局限性'], ['财务报表的真实性'], ['企业选择不同的会计政策的可比性'], ['财务报表的及时性']]","正确答案：,A ,B ,C ",财务分析的局限性包括
"[['为出资人行使经营者的选择权提供重要依据'], ['可以有效地加强对企业经营者的监管和约束'], ['可以为有效激励企业经营者提供可靠依据'], ['可以为政府有关部门、债权人、企业职工等利益相关方提供有效的信息支持。']]","正确答案：,A ,B ,C ,D ",业绩评价的作用体现在
"[['√'], ['×']]","正确答案：,B ",只有现值没有终值的年金是递延年金。
"[['√'], ['×']]","正确答案：,A ",在财务分析中，将通过对比两期或连续数期财务报告中的相同指标，以说明企业财务状况或经营成果变动趋势的方法称为比较分析法。
"[['√'], ['×']]","正确答案：,A ",差额计算法只是连环替代法的一种简化形式，二者实质上是相同的。
,,
"[['递延年金是指第一次支付发生在第二期或第二期以后的年金'], ['递延年金是普通年金的特殊形式'], ['最初若干期没有收付款项'], ['其现值计算与普通年金原理相同']]","正确答案：,D ",下列说法错误的是（ ）。
"[['市场风险'], ['公司特有风险'], ['非系统风险'], ['系统风险']]","正确答案：,B ,C ",证券投资的收益率由无风险收益率和风险收益率组成。证券投资组合能够分散（ ）。
"[['一个事件的概率是指这一事件的某种后果可能发生的几率。'], ['随机事件发生的可能性越大，概率就越大。'], ['必然发生事件的概率为1，完全不可能发生事件的概率为0'], ['大多数随机事件发生的概率介于0～1。']]","正确答案：,A ,B ,C ,D ",下列关于概率的说法正确的是（ ）。
"[['√'], ['×']]","正确答案：,B ",某公司2011年比2010年净资产收益率增加了5个百分点，采用因素分析法计算分析得知，由于销售净利率提高使得净资产收益率增加了6个百分点，由于总资产周转率下降使得净资产收益率下降了2个百分点，则可以得知企业的权益乘数提高了1个百分点。
"[['√'], ['×']]","正确答案：,B ",如果是对投资者股利分配的时间、形式和金额把握不准确而产生的风险，以及各种收益分配的次序和比例不当产生的风险就形成收益确认风险。
"[['√'], ['×']]","正确答案：,B ",每一个随机变量的概率最小为0，最大为1，不可能小于0，也不可能大于1，全部概率之和可以等于1，也可以不等于1。
"[['公司与政府之间的财务关系'], ['公司与投资者、受资者之间的财务关系'], ['公司内部各单位之间的财务关系'], ['公司与债权人、债务人之间的财务关系']]","正确答案：,A ,B ,C ,D ",公司的财务关系有
"[['年金既有终值又有现值'], ['递延年金是第一次收付款项发生的时间在第二期或第二期以后的年金'], ['永续年金是特殊形式的普通年金'], ['永续年金是特殊形式的即付年金']]","正确答案：,B ,C ",下列关于年金的表述中，正确的有（ ）
"[['利率'], ['利息'], ['资金价值'], ['资金净现值']]","正确答案：,A ,B ",可以表示资金的价格的有
"[['方差'], ['标准差'], ['标准离差率'], ['协方差']]","正确答案：,D ",投资组合是否存在风险，更多地取决于投资组合中任意两种证券的（ ）。
"[['市场风险'], ['不可分散风险'], ['系统风险'], ['公司特有风险']]","正确答案：,D ",从公司本身的角度来看，经营风险和财务风险属于（ ）。
"[['风险中立者'], ['风险追求者'], ['风险回避者'], ['风险需求者']]","正确答案：,A ",（ ）既不回避风险，也不主动追求风险。
"[['15.50%'], ['20%'], ['30%'], ['25.50%']]","正确答案：,A ",某雨伞公司预计下个月收益率，该公司得到消息下个月经常下雨的概率为10%，其预计收益率为30%，几乎不下雨的概率为20%，其预计收益率为10%，正常下雨的概率为70%，其预计收益率为15%，求该公司下个月的期望收益率为（ ）。
"[['120.8'], ['240'], ['120'], ['60']]","正确答案：,C ",企业打算在未来三年每年年末存入2000元，年利率2%，单利计息，则在第三年年末取出的利息是（　）元。
"[['√'], ['×']]","正确答案：,A ",复利俗称“利滚利
"[['在组合投资中，除了组合中各单个资产的个别风险外，资产相互之间也会产生各种关系。'], ['进行组合投资的目的就是通过多样化经营以减少风险。'], ['与单一投资相对应，人们将投资于两种或两种以上资产的投资称为组合投资。'], ['投资组合中资产的种类越多越好。']]","正确答案：,A ,B ,C ",关于组合投资，下列说法正确的是（ ）。
"[['筹资活动'], ['资金营运'], ['投资活动'], ['利润分配活动']]","正确答案：,A ,B ,C ,D ",下列各项中，属于企业财务活动的有
"[['财务规划和预测'], ['财务决策'], ['财务预算'], ['财务控制'], ['财务分析、业绩评价与激励']]","正确答案：,A ,B ,C ,D ,E ",财务管理的职能包括
"[['β系数等于0时'], ['β系数等于1时'], ['β系数大于0时'], ['β系数等于-1时']]","正确答案：,B ",当市场组合的（ ），该β系数就是相对于市场组合而言的单个股票的系统风险，或不可避免风险。
"[['复利终值数'], ['复利现值系数'], ['普通年金终值系数'], ['普通年金现值系数']]","正确答案：,C ",某公司从本年度起每年年末存入银行一笔固定金额的款项，若按复利用最简便算法计算第n年末可以从银行取出的本利和，则应选用的时间价值系数是（ ）。
"[['后付年金终值'], ['即付年金终值'], ['递延年金终值'], ['永续年金终值']]","正确答案：,D ",在下列各项中，无法计算出确切结果的是（　）
"[['投资报酬率'], ['剩余收益'], ['经济增加值'], ['市场增加值']]","正确答案：,D ",下列指标中，不能用于企业内部业绩评价的是
"[['股东与经营者'], ['股东与债权人'], ['经营者与债权人'], ['股东、经营者、债权人']]","正确答案：,B ",企业最重要的财务关系是
"[['财务预测'], ['财务决策'], ['财务控制'], ['财务预算']]","正确答案：,B ",在市场经济条件下财务管理的核心是
"[['4.50%'], ['5.50%'], ['10%'], ['10.50%']]","正确答案：,A ",甲公司2008年的营业净利率比2007年下降5%总资产周转率提高l0%假定其他条件与2007年相同那么甲公司2008年的净资产收益率比2007年提高
"[['10000'], ['12000'], ['13189'], ['8190']]","正确答案：,C ",以10%的利率借得50000元，投资于寿命期为5年的项目，为使该投资项目成为有利的项目，每年至少应收回的现金数额为
"[['财务报表本身的局限性'], ['财务报表的真实性'], ['企业选择不同的会计政策影响可比性'], ['财务报表的及时性']]","正确答案：,A ,B ,C ",财务分析的局限性有
"[['企业的盈利能力'], ['企业的盈利能力'], ['企业的偿债能力'], ['企业的增长能力']]","正确答案：,C ",从企业债权者角度看，财务分析的最直接目的是
"[['企业组织形式'], ['企业组织机构'], ['人员构成'], ['法律环境']]","正确答案：,D ",下列不属于企业内部财务管理环境的有
"[['终值'], ['现值'], ['利润'], ['支出']]","正确答案：,A ,B ",下列属于时点指标的有（ ）。
"[['销售成本降低'], ['短期偿债能力增强'], ['收账费用水平较低'], ['赊账业务减少']]","正确答案：,B ,C ",应收账款周转率提高意味着
"[['固定制造费用耗费差异=固定制造费用实际成本-固定制造费用标准成本'], ['固定制造费用闲置能量差异=(生产能量-实际工时）X固定制造费用标准分配率'], ['固定制造费用效率差异=(实际工时-标准产量标准工时）X固定制造费用标准分配率'], ['三因素分析法中的闲置能量差异与二因素分析法中的能量差异相同']]","正确答案：,B ",企业进行固定制造费用差异分析时可以使用三因素分析法。下列关于三因素分析法的说法中，正确的是
"[['两方'], ['三方'], ['无要求'], ['四方']]","正确答案：,A ",双方交易原则建立的依据是商业交易至少有
"[['因素分解的关联性'], ['顺序替代的顺序性'], ['计算结果的假定性'], ['因素替代的顺序性']]","正确答案：,C ",下列各项中，不属于财务分析中因素分析法特征的是
"[['40000'], ['52000'], ['55482'], ['64000']]","正确答案：,C ",假如企业按12%的年利率取得贷款200000元，要求在5年内每年年末等额偿还，每年的偿付额应为（ ）元
"[['利润率'], ['总资产周转率'], ['财务杠杆'], ['资产负债率']]","正确答案：,A ,B ,C ",杜邦分析法将净资产收益率分为（  ）三部分来进行分析
"[['6.25'], ['7.5'], ['4.94'], ['5.59']]","正确答案：,D ",某企业利润表中的财务费用为100万元，其中利息费用为120万元，利息收入为20万元。资本化利息为25万元。全部资本化利息在折旧与摊销中包含的金额为40万元。净利润为500万元，所得税为150万元，则该企业的利息保障倍数为
"[['营业利润增长率'], ['总资产报酬率'], ['总资产周转率'], ['资本保值增值率']]","正确答案：,B ",在下列财务绩效定量评价指标中，属于反映企业盈利能力状况的基本指标的是
"[['计算利息的时间长短不同分类'], ['形成机制不同分类'], ['按利率之间的变动关系不同分类'], ['与市场资金供求情况的关系不同']]","正确答案：,D ",按（ ），可将利率分为固定利率和浮动利率两种。
"[['企业外部财务制度'], ['企业内部财务制度'], ['企业财务管理条例'], ['企业财务管理法']]","正确答案：,B ",.我国目前企业财务管理法规制度，有以下三个层次：行业财务制度、企业财务通则和（ ）
"[['企业外部财务制度'], ['企业内部财务制度'], ['企业财务管理条例'], ['企业财务管理法']]","正确答案：,B ",我国目前企业财务管理法规制度，有以下三个层次：行业财务制度、企业财务通则和（）
"[['3%'], ['3.50%'], ['2.50%'], ['2%']]","正确答案：,B ",某金融机构的基准利率为3%，该机构规定向外贷款时的贷款利率应在基准利率基础上加0.5%，则该金融机构的贷款利率为（）
"[['总偿债能力'], ['获利能力'], ['经营能力'], ['短期偿债能力']]","正确答案：,B ",利息保障倍数不仅反映了企业长期偿债能力，而且反映了
"[['两方'], ['三方'], ['无要求'], ['四方']]","正确答案：,A ",双方交易原则建立的依据是商业交易至少有（）
"[['权益乘数'], ['销售净利率'], ['净资产收益率'], ['产权比率']]","正确答案：,B ",（　　）反映了企业净利润与销售收入的关系，它的高低取决于销售收入与成本总额的高低。
"[['存货购进的减少'], ['利息的增加'], ['机会成本的增加'], ['销售机会的丧失']]","正确答案：,C ",较高的现金流动比率会使企业资产的流动性较强，同时也会带来
"[['3%'], ['3.50%'], ['2.50%'], ['2%']]","正确答案：,B ",某金融机构的基准利率为3%，该机构规定向外贷款时的贷款利率应在基准利率基础上加0.5%，则该金融机构的贷款利率为
"[['利率'], ['贴现率'], ['成本率'], ['利息']]","正确答案：,B ",是指将未来支付改变为现值所使用的利率，或指持票人以没有到期的票据向银行要求兑现，银行将利息先行扣除所使用的利率。
"[['两方'], ['三方'], ['无要求'], ['四方']]","正确答案：,A ",双方交易原则建立的依据是商业交易至少有
"[['构成比率'], ['效率比率'], ['相关比率'], ['定基动态比率']]","正确答案：,D ",下列比率指标不属于比率分析法指标类型的是
"[['年利率'], ['即期利率'], ['法定利率'], ['远期利率']]","正确答案：,B ,D ",按所在的时间位置不同，可将利率分为（）
"[['两方'], ['三方'], ['无要求'], ['四方']]","正确答案：,A ",双方交易原则建立的依据是商业交易至少有
"[['监督'], ['解聘'], ['接收'], ['激励']]","正确答案：,A ,B ,C ,D ",为了防止经营者背离所有者目标，经常采用以下方式
"[['通货膨胀补偿率较大'], ['违约风险收益率较大'], ['动性风险收益率较大'], ['期限风险收益率较大']]","正确答案：,D ",在其它条件相同的情况下，同一公司发行的10年期债券与5年期债券相比，
"[['受资与投资关系'], ['买卖关系'], ['内部与外部关系'], ['债务与债权关系']]","正确答案：,A ,C ,D ",企业的财务关系有（　　）。
"[['监督和激励'], ['规定资金的用途'], ['限制发行新债数额'], ['提前收回借款']]","正确答案：,B ,C ,D ",下列各项中，能够用于协调企业所有者与企业债权人矛盾的方法是
"[['8.24%'], ['4%'], ['2%'], ['10.04%']]","正确答案：,A ",王某退休时有现金5万元，拟选择一项回报比较稳定的投资，希望每个季度能获得收入1000元补贴生活。那么，该项投资的实际报酬率应为（ ）。
"[['股东与经营者'], ['股东与债权人'], ['经营者与债权人'], ['股东、经营者、债权人']]","正确答案：,B ",企业最重要的财务关系是
"[['有利于企业长期稳定发展'], ['有利于实现企业经济效益和社会效益的统一'], ['较好的兼顾了各利益主体的利益'], ['体现了前瞻性和可操作性的统一']]","正确答案：,A ,B ,C ,D ",下列属于相关者利益最大化目标优点的是
"[['√'], ['×']]","正确答案：,A ",财务活动是指企业再生产过程中的资金运动，即筹集、运用和分配资金的活动
"[['短期资本市场'], ['发行市场'], ['长期资本市场'], ['初级市场']]","正确答案：,A ,C ",以期限为标准，金融市场分为
"[['年利率'], ['即期利率'], ['法定利率'], ['远期利率']]","正确答案：,B ,D ",按所在的时间位置不同，可将利率分为（）
"[['受资与投资关系'], ['债务与债权关系'], ['内部与外部关系'], ['强制与无偿关系']]","正确答案：,A ",企业与投资者和被投资者形成了
"[['企业外部财务制度'], ['企业内部财务制度'], ['企业财务管理条例'], ['企业财务管理法']]","正确答案：,B ",我国目前企业财务管理法规制度，有以下三个层次：行业财务制度、企业财务通则和（）
"[['√'], ['×']]","正确答案：,A ",法定利率又称“官定利率”，是指由政府金融管理部门或者中央银行确定的利率
"[['提高销售净利率'], ['提高总资产净利率'], ['降低权益乘数'], ['提高资产负债率']]","正确答案：,A ,B ,D ",在其他条件不变的情况下，下列各项变化会导致净资产收益率增加的是（   ）
"[['企业与投资者和被投资者的关系'], ['企业与债权人和债务人的关系'], ['指企业与政府、供应商、客户等与内部各部门、职工等的关系'], ['母公司与子公司的关系']]","正确答案：,C ",内部与外部关系主要指
"[['存货购进的减少'], ['利息的增加'], ['机会成本的增加'], ['销售机会的丧失']]","正确答案：,C ",较高的现金流动比率会使企业资产的流动性较强，同时也会带来
"[['6.25'], ['7.5'], ['4.94'], ['5.59']]","正确答案：,D ",某企业利润表中的财务费用为100万元，其中利息费用为120万元，利息收入为20万元。资本化利息为25万元。全部资本化利息在折旧与摊销中包含的金额为40万元。净利润为500万元，所得税为150万元，则该企业的利息保障倍数为
"[['0.03'], ['0.035'], ['0.025'], ['0.02']]","正确答案：,B ",某金融机构的基准利率为3%，该机构规定向外贷款时的贷款利率应在基准利率基础上加0.5%，则该金融机构的贷款利率为
"[['比较分析法'], ['比率分析法'], ['差额分析法'], ['因素替代法']]","正确答案：,C ",下列方法中是连环替代的简便方法是
"[['赊销产成品'], ['现销产成品'], ['期末收回应收账款'], ['发生销售退回'], ['发生销售折扣']]","正确答案：,A ,C ,D ",下列经济行为会影响企业应收账款周转率的是
"[['构成比率'], ['效率比率'], ['相关比率'], ['定基动态比率']]","正确答案：,D ",下列比率指标不属于比率分析法指标类型的是
"[['自利行为原则'], ['信号传递原则'], ['市场有效原则'], ['双方交易原则']]","正确答案：,A ,D ",下列选项中属于财务管理行为方面的原则的是（）
"[['提高销售净利率'], ['提高总资产净利率'], ['降低权益乘数'], ['提高资产负债率']]","正确答案：,A ,B ,D ",在其他条件不变的情况下，下列各项变化会导致净资产收益率增加的是（   ）
"[['√'], ['×']]","正确答案：,B ",某公司2011年比2010年净资产收益率增加了5个百分点，采用因素分析法计算分析得知，由于销售净利率提高使得净资产收益率增加了6个百分点，由于总资产周转率下降使得净资产收益率下降了2个百分点，则可以得知企业的权益乘数提高了1个百分点。
"[['利润率'], ['总资产周转率'], ['财务杠杆'], ['资产负债率']]","正确答案：,A ,B ,C ",杜邦分析法将净资产收益率分为（  ）三部分来进行分析
"[['筹资活动'], ['资金营运'], ['投资活动'], ['利润分配活动']]","正确答案：,A ,B ,C ,D ",下列各项中，属于企业财务活动的有
"[['财务报表本身的局限性'], ['财务报表的真实性'], ['企业选择不同的会计政策的可比性'], ['财务报表的及时性']]","正确答案：,A ,B ,C ",财务分析的局限性包括
"[['√'], ['×']]","正确答案：,A ",差额计算法只是连环替代法的一种简化形式，二者实质上是相同的。
"[['构成比率'], ['效率比率'], ['.相关比率'], ['定基动态比率']]","正确答案：,D ",下列比率指标不属于比率分析法指标类型的是（）。
"[['折旧'], ['租金'], ['利滚利'], ['保险费']]","正确答案：,A ,B ,D ",下列选项中，（ ）可以视为年金的形式。
"[['存货购进的减少'], ['利息的增加'], ['.机会成本的增加'], ['销售机会的丧失']]","正确答案：,C ",较高的现金流动负债比率会使企业资产的流动性较强，同时也会带来（    ）
"[['6.25'], ['7.5'], ['4.94'], ['5.59']]","正确答案：,D ",某企业利润表中的财务费用为100万元，其中利息费用为120万元，利息收入为20万元。资本化利息为25万元。全部资本化利息在折旧与摊销中包含的金额为40万元。净利润为500万元，所得税为150万元，则该企业的利息保障倍数为（　　）。
"[['6120.8'], ['6243.2'], ['6240'], ['6606.6']]","正确答案：,C ",王某打算在未来三年每年年初存入2000元，年利率2%，单利计息，则在第三年年末存款的终值是（ ）元。
"[['121'], ['100'], ['135'], ['90']]","正确答案：,B ",在利率为5%的情况下，已知预付年金的现值为105元，则普通年金的现值为（ ）元。
"[['17.531'], ['15.937'], ['14.579'], ['12.579']]","正确答案：,A ","已知（F/A,10%,9）=13.579，（F/A,10%,11）=18.531，（F/A,10%,10）=15.937,（F/P,10%,11）=2.853,（P/A,10%,10）=6.145,则10年、10%的即付年金终值系数是（ ）。"
"[['递延年金是指第一次支付发生在第二期或第二期以后的年金'], ['递延年金是普通年金的特殊形式'], ['最初若干期没有收付款项'], ['其现值计算与普通年金原理相同']]","正确答案：,D ",下列说法错误的是（ ）。
"[['复利终值系数和复利现值系数互为倒数'], ['普通年金终值系数和普通年金现值系数互为倒数'], ['普通年金终值系数和偿债基金系数互为倒数'], ['普通年金现值系数和资本回收系数互为倒数']]","正确答案：,A ,C ,D ",下列说法中，正确的有（ ）。
"[['普通年金终值大于即付年金终值'], ['即付年金终值大于普通年金终值'], ['普通年金现值大于即付年金现值'], ['即付年金现值大于普通年金现值']]","正确答案：,B ,D ",若年金数额、期间、利率都相同，则有（ ）。
"[['增强资金时间价值观念，能以较少的投入获得较多的产出'], ['.利用资金时间价值的原理，能为正确评价投资效益、投资决策提供依据'], ['运用资金时间价值原理，有利于加速资金的循环周转，从而提高企业的经济效益'], ['时间价值观念在只适用于理论，不适用于实际']]","正确答案：,A ,B ,C ",下列属于资金的时间价值观念的意义的是（ ）。
"[['√'], ['×']]","正确答案：,B ",在终值和计息期一定的情况下，贴现率越低，则复利现值越小。
"[['√'], ['×']]","正确答案：,A ",当通货膨胀率大于名义利率时，实际利率为负值。
"[['√'], ['×']]","正确答案：,A ",“现值”和“终值”两个概念表示不同时期的资金时间价值。
"[['√'], ['×']]","正确答案：,B ",业绩评价方法只有财务业绩定量评价方法、管理业绩定性评价方法两种手段
"[['√'], ['×']]","正确答案：,B ",运用资金时间价值原理，不利于加速资金的循环周转，从而提高企业的经济效益。
"[['√'], ['×']]","正确答案：,A ",某人分期付款买车，每年年初付3000元，20年还完，利率5%，要想现在一次性付清，需要付39255.9元
"[['4'], ['5'], ['4.6'], ['5.4']]","正确答案：,D ",有甲、乙两台设备可供选用，甲设备的年使用费比乙设备低2000元，但价格高于乙设备8000元。若资本成本为10%，甲设备的使用期应长于（ ）年，选用甲设备才是有利的
"[['√'], ['×']]","正确答案：,A ",在使用未到期的票据向银行申请贴现时使用的利率称贴现率，计算出来的利息称贴现息，扣除贴现息后的余额称为现值。
"[['√'], ['×']]","正确答案：,A ",管理业绩定性评价是在财务业绩定量评价的基础上进行的
"[['折旧'], ['租金'], ['利滚利'], ['保险费']]","正确答案：,A ,B ,D ",下列选项中，（ ）可以视为年金的形式。
"[['25%'], ['20%'], ['15%'], ['12%']]","正确答案：,B ",某企业年度销售收入净额为500万元，年度销售成本为400万元，净利润为60万元，则该公司的销售毛利率为（　　）。
"[['100×（F/P，8%，5）'], ['100×（F/P，4%，10）'], ['100×（F/A，8%，5）'], ['100×（F/P，8.16%，5）']]","正确答案：,B ,D ",长江公司取得借款100万元，借款的年利率是8%，每半年复利一次，期限为5年，则该项借款的终值是（    ）。
"[['当前股票价格上升'], ['资本利得收益率上升'], ['预期现金股利下降'], ['预期持有该股票的时间延长']]","正确答案：,B ",在其他条件不变的情况下，下列事项中能够引起股票期望收益率上升的是（　）。
"[['11%和21%'], ['10%和20%'], ['14%和21%'], ['12%和20%']]","正确答案：,A ",某企业长期持有A股票，目前每股现金股利2元，每股市价20元，在保持目前的经营效率和财务政策不变，且不从外部进行股权融资的情况下，其预计收入增长率为10%，则该股票的股利收益率和期望报酬率分别为( )元。
